time,q,raw_price,bid,ask,volume,open_interest,mark_type,stale
2024-10-24T15:00:00Z,0.99,0.99,0.2,1.0,100.0,100.0,trade,false
2024-10-24T18:00:00Z,0.26,0.26,0.22,0.99,900.0,1000.0,trade,false
2024-10-24T19:00:00Z,0.26,,0.24,0.28,0.0,1000.0,midpoint,false
2024-10-24T20:00:00Z,0.3,0.3,0.26,0.3,1317.0,2317.0,trade,false
2024-10-24T21:00:00Z,0.285,,0.27,0.3,0.0,2317.0,midpoint,false
2024-10-25T00:00:00Z,0.3,0.3,0.27,0.3,15.0,2332.0,trade,false
2024-10-25T18:00:00Z,0.28,,0.27,0.29,0.0,2332.0,midpoint,false
2024-10-25T20:00:00Z,0.3,0.3,0.27,0.3,64.0,2396.0,trade,false
2024-10-25T22:00:00Z,0.295,,0.29,0.3,0.0,2396.0,midpoint,false
2024-10-27T13:00:00Z,0.3,0.3,0.29,0.3,63.0,2459.0,trade,false
2024-10-28T00:00:00Z,0.29,0.29,0.29,0.3,70.0,2529.0,trade,false
2024-10-28T01:00:00Z,0.29,0.29,0.27,0.29,246.0,2775.0,trade,false
2024-10-28T04:00:00Z,0.29,0.29,0.27,0.28,65.0,2840.0,trade,false
2024-10-28T20:00:00Z,0.28,0.28,0.27,0.28,1.0,2841.0,trade,false
2024-10-29T00:00:00Z,0.28,0.28,0.27,0.29,13.0,2854.0,trade,false
2024-10-29T03:00:00Z,0.29,0.29,0.27,0.29,5.0,2859.0,trade,false
2024-10-29T13:00:00Z,0.29,0.29,0.27,0.29,100.0,2959.0,trade,false
2024-10-29T14:00:00Z,0.29,0.29,0.27,0.29,65.0,3024.0,trade,false
2024-10-29T16:00:00Z,0.275,,0.27,0.28,0.0,3024.0,midpoint,false
2024-10-29T20:00:00Z,0.28,0.28,0.27,0.28,34.0,3058.0,trade,false
2024-10-30T01:00:00Z,0.28,0.28,0.27,0.28,3.0,3061.0,trade,false
2024-10-30T13:00:00Z,0.28,0.28,0.27,0.28,10.0,3071.0,trade,false
2024-10-30T22:00:00Z,0.29,0.29,0.27,0.29,248.0,3319.0,trade,false
2024-10-31T05:00:00Z,0.275,,0.27,0.28,0.0,3319.0,midpoint,false
2024-10-31T23:00:00Z,0.29,0.29,0.27,0.29,148.0,3467.0,trade,false
2024-11-01T18:00:00Z,0.3,0.3,0.27,0.3,483.0,3950.0,trade,false
2024-11-01T23:00:00Z,0.27,0.27,0.27,0.29,27.0,3977.0,trade,false
2024-11-02T02:00:00Z,0.29,0.29,0.27,0.29,65.0,4042.0,trade,false
2024-11-02T03:00:00Z,0.29,0.29,0.27,0.29,5.0,4047.0,trade,false
2024-11-02T04:00:00Z,0.29,0.29,0.27,0.29,50.0,4097.0,trade,false
2024-11-02T13:00:00Z,0.28,,0.27,0.29,0.0,4097.0,midpoint,false
2024-11-02T22:00:00Z,0.3,0.3,0.27,0.3,638.0,4735.0,trade,false
2024-11-03T18:00:00Z,0.31,0.31,0.27,0.31,47.0,4782.0,trade,false
2024-11-03T21:00:00Z,0.3,0.3,0.27,0.3,15.0,4797.0,trade,false
2024-11-04T04:00:00Z,0.285,,0.28,0.29,0.0,4797.0,midpoint,false
2024-11-04T05:00:00Z,0.285,,0.28,0.29,0.0,4797.0,midpoint,false
2024-11-04T07:00:00Z,0.285,,0.27,0.3,0.0,4797.0,midpoint,false
2024-11-04T08:00:00Z,0.285,,0.28,0.29,0.0,4797.0,midpoint,false
