time,q,raw_price,bid,ask,volume,open_interest,mark_type,stale
2025-09-22T15:00:00.000Z,0.5000,0.5000,0.3600,0.4800,522.00,522.00,trade,false
2025-09-22T16:00:00.000Z,0.4400,,0.4000,0.4800,0.00,522.00,midpoint,false
2025-09-22T17:00:00.000Z,0.5000,0.5000,0.4700,0.4800,214.00,736.00,trade,false
2025-09-22T18:00:00.000Z,0.4750,,0.4700,0.4800,0.00,736.00,midpoint,false
2025-09-22T19:00:00.000Z,0.4750,,0.4700,0.4800,0.00,736.00,midpoint,false
2025-09-22T20:00:00.000Z,0.4700,0.4700,0.4700,0.4800,15.00,741.00,trade,false
2025-09-22T21:00:00.000Z,0.4900,0.4900,0.4700,0.4900,321.00,872.00,trade,false
2025-09-22T22:00:00.000Z,0.4800,,0.4700,0.4900,0.00,872.00,midpoint,false
2025-09-22T23:00:00.000Z,0.4900,0.4900,0.4000,0.4800,57.00,915.00,trade,false
2025-09-23T00:00:00.000Z,0.4000,0.4000,0.4000,0.4800,1.00,916.00,trade,false
2025-09-23T01:00:00.000Z,0.4400,,0.4000,0.4800,0.00,916.00,midpoint,false
2025-09-23T02:00:00.000Z,0.4900,0.4900,0.4000,0.4700,20.00,936.00,trade,false
2025-09-23T03:00:00.000Z,0.4450,,0.4000,0.4900,0.00,936.00,midpoint,false
2025-09-23T04:00:00.000Z,0.4450,,0.4000,0.4900,0.00,936.00,midpoint,false
2025-09-23T05:00:00.000Z,0.4900,0.4900,0.4000,0.4900,17.00,953.00,trade,false
2025-09-23T06:00:00.000Z,0.4900,0.4900,0.4000,0.4900,1.00,954.00,trade,false
2025-09-23T07:00:00.000Z,0.4450,,0.4000,0.4900,0.00,954.00,midpoint,false
2025-09-23T08:00:00.000Z,0.4450,,0.4000,0.4900,0.00,954.00,midpoint,false
2025-09-23T10:00:00.000Z,0.4450,,0.4000,0.4900,0.00,954.00,midpoint,false
2025-09-23T11:00:00.000Z,0.4000,0.4000,0.4000,0.4900,9.00,954.00,trade,false
2025-09-23T12:00:00.000Z,0.4900,0.4900,0.4200,0.4800,2814.00,3768.00,trade,false
2025-09-23T13:00:00.000Z,0.4200,0.4200,0.4400,0.4800,1.00,3768.00,trade,false
2025-09-23T14:00:00.000Z,0.4500,,0.4300,0.4700,0.00,3768.00,midpoint,false
2025-09-23T15:00:00.000Z,0.5100,0.5100,0.4300,0.5000,195.00,3962.00,trade,false
2025-09-23T16:00:00.000Z,0.4650,,0.4400,0.4900,0.00,3962.00,midpoint,false
2025-09-23T17:00:00.000Z,0.5000,0.5000,0.4600,0.5200,29.00,3981.00,trade,false
2025-09-23T18:00:00.000Z,0.4850,,0.4600,0.5100,0.00,3981.00,midpoint,false
2025-09-23T19:00:00.000Z,0.5100,0.5100,0.4700,0.5200,9.00,3990.00,trade,false
